HashtableType;numInsertions;duration 
linear;1000;0.0094771
double;1000;0.008035
cuadratic;1000;0.0059944
chaining;1000;0.0074205
linear;5000;0.0198584
double;5000;0.0188296
cuadratic;5000;0.0181646
chaining;5000;0.0227308
linear;10000;0.0330195
double;10000;0.0325693
cuadratic;10000;0.0350638
chaining;10000;0.0456249
linear;20000;0.0737267
double;20000;0.0849519
cuadratic;20000;0.0651553
chaining;20000;0.088371
linear;1000;0.0056643
double;1000;0.0092481
cuadratic;1000;0.0067844
chaining;1000;0.0104539
linear;5000;0.0183132
double;5000;0.0294067
cuadratic;5000;0.0297785
chaining;5000;0.0360715
linear;10000;0.0524797
double;10000;0.0519921
cuadratic;10000;0.0495165
chaining;10000;0.0651595
linear;20000;0.0967923
double;20000;0.0822881
cuadratic;20000;0.0827138
chaining;20000;0.112769
linear;1000;0.0053967
double;1000;0.0052054
cuadratic;1000;0.0062337
chaining;1000;0.0135898
linear;5000;0.01788
double;5000;0.0182708
cuadratic;5000;0.0166221
chaining;5000;0.0331994
linear;10000;0.0414915
double;10000;0.045994
cuadratic;10000;0.0493118
chaining;10000;0.0623141
linear;20000;0.0616227
double;20000;0.0703889
cuadratic;20000;0.078802
chaining;20000;0.081279
linear;1000;0.005416
double;1000;0.0068327
cuadratic;1000;0.0086088
chaining;1000;0.0081145
linear;5000;0.0170322
double;5000;0.0191825
cuadratic;5000;0.0168287
chaining;5000;0.0254837
linear;10000;0.0348415
double;10000;0.0322018
cuadratic;10000;0.0312799
chaining;10000;0.0567706
linear;20000;0.0748253
double;20000;0.0995715
cuadratic;20000;0.104917
chaining;20000;0.101773
linear;1000;0.0087879
double;1000;0.0088978
cuadratic;1000;0.0086848
chaining;1000;0.0101708
linear;5000;0.0286187
double;5000;0.028626
cuadratic;5000;0.0300473
chaining;5000;0.0360522
linear;10000;0.0529773
double;10000;0.0777613
cuadratic;10000;0.0511267
chaining;10000;0.0654134
linear;20000;0.07414
double;20000;0.0720616
cuadratic;20000;0.0655281
chaining;20000;0.0915247
linear;1000;0.0053445
double;1000;0.0058659
cuadratic;1000;0.0050947
chaining;1000;0.006306
linear;5000;0.0176409
double;5000;0.019051
cuadratic;5000;0.0169643
chaining;5000;0.0225149
linear;10000;0.0334502
double;10000;0.0315265
cuadratic;10000;0.0332769
chaining;10000;0.0503011
linear;20000;0.0721072
double;20000;0.0716306
cuadratic;20000;0.0625091
chaining;20000;0.0786352
linear;1000;0.0053617
double;1000;0.0088337
cuadratic;1000;0.0091284
chaining;1000;0.0059126
linear;5000;0.01701
double;5000;0.0180456
cuadratic;5000;0.0167775
chaining;5000;0.0224413
linear;10000;0.0320939
double;10000;0.0330029
cuadratic;10000;0.0341681
chaining;10000;0.0432112
linear;20000;0.07414
double;20000;0.0826807
cuadratic;20000;0.0927468
chaining;20000;0.108844
linear;1000;0.005288
double;1000;0.0063022
cuadratic;1000;0.0052832
chaining;1000;0.0098629
linear;5000;0.0275934
double;5000;0.0285541
cuadratic;5000;0.0283265
chaining;5000;0.0354177
linear;10000;0.0515101
double;10000;0.0467262
cuadratic;10000;0.0458602
chaining;10000;0.0639961
linear;20000;0.0819922
double;20000;0.0762838
cuadratic;20000;0.107577
chaining;20000;0.104632
linear;1000;0.0093527
double;1000;0.0088258
cuadratic;1000;0.0090354
chaining;1000;0.0099286
linear;5000;0.0284816
double;5000;0.0230392
cuadratic;5000;0.0227748
chaining;5000;0.0342238
linear;10000;0.0503228
double;10000;0.0304683
cuadratic;10000;0.0419626
chaining;10000;0.0581288
linear;20000;0.0771998
double;20000;0.0572044
cuadratic;20000;0.0547594
chaining;20000;0.0636362
linear;1000;0.0048554
double;1000;0.0042752
cuadratic;1000;0.0043514
chaining;1000;0.0049501
linear;5000;0.0138238
double;5000;0.0133994
cuadratic;5000;0.013265
chaining;5000;0.0165107
linear;10000;0.0238464
double;10000;0.0238777
cuadratic;10000;0.0230702
chaining;10000;0.0483847
linear;20000;0.0529418
double;20000;0.0507331
cuadratic;20000;0.0448573
chaining;20000;0.0589009
linear;1000;0.0044118
double;1000;0.0039567
cuadratic;1000;0.0088694
chaining;1000;0.0041444
linear;5000;0.0207658
double;5000;0.028383
cuadratic;5000;0.0281484
chaining;5000;0.0342479
linear;10000;0.0207607
double;10000;0.02057
cuadratic;10000;0.0203671
chaining;10000;0.0270268
linear;20000;0.0417387
double;20000;0.0413208
cuadratic;20000;0.0397554
chaining;20000;0.0521474
linear;1000;0.0035402
double;1000;0.0036357
cuadratic;1000;0.0034784
chaining;1000;0.0037184
linear;5000;0.0106955
double;5000;0.0112526
cuadratic;5000;0.0106084
chaining;5000;0.0134203
linear;10000;0.0412468
double;10000;0.035519
cuadratic;10000;0.02677
chaining;10000;0.0511874
linear;20000;0.0402971
double;20000;0.0391807
cuadratic;20000;0.0815289
chaining;20000;0.0647056
linear;1000;0.0085091
double;1000;0.008749
cuadratic;1000;0.0084606
chaining;1000;0.0101559
linear;5000;0.0293238
double;5000;0.0286311
cuadratic;5000;0.028959
chaining;5000;0.0351178
linear;10000;0.042602
double;10000;0.0388531
cuadratic;10000;0.0366313
chaining;10000;0.053229
linear;20000;0.059997
double;20000;0.0668601
cuadratic;20000;0.039439
chaining;20000;0.0502176
linear;1000;0.0037368
double;1000;0.003472
cuadratic;1000;0.0035035
chaining;1000;0.0037145
linear;5000;0.0128717
double;5000;0.0107308
cuadratic;5000;0.010686
chaining;5000;0.0134525
linear;10000;0.0203029
double;10000;0.0196154
cuadratic;10000;0.019811
chaining;10000;0.027513
linear;20000;0.0375448
double;20000;0.0397241
cuadratic;20000;0.038186
chaining;20000;0.0549536
linear;1000;0.0034076
double;1000;0.0034039
cuadratic;1000;0.0034306
chaining;1000;0.0038215
linear;5000;0.0106729
double;5000;0.0107211
cuadratic;5000;0.0104855
chaining;5000;0.0133818
linear;10000;0.0203923
double;10000;0.0194619
cuadratic;10000;0.0191673
chaining;10000;0.0248191
linear;20000;0.0405034
double;20000;0.0406161
cuadratic;20000;0.0412428
chaining;20000;0.0532946
linear;1000;0.003911
double;1000;0.0034238
cuadratic;1000;0.0050938
chaining;1000;0.003778
linear;5000;0.0110235
double;5000;0.0285776
cuadratic;5000;0.0284114
chaining;5000;0.0351035
linear;10000;0.0510538
double;10000;0.0206192
cuadratic;10000;0.0214324
chaining;10000;0.0247498
linear;20000;0.0381907
double;20000;0.0391415
cuadratic;20000;0.0886366
chaining;20000;0.0711423
linear;1000;0.0076665
double;1000;0.008672
cuadratic;1000;0.0037547
chaining;1000;0.0037559
linear;5000;0.0283813
double;5000;0.0286284
cuadratic;5000;0.0137027
chaining;5000;0.0128991
linear;10000;0.0204279
double;10000;0.0197658
cuadratic;10000;0.0193432
chaining;10000;0.024451
linear;20000;0.0847748
double;20000;0.0725766
cuadratic;20000;0.0861604
chaining;20000;0.100275
linear;1000;0.0083153
double;1000;0.0083092
cuadratic;1000;0.0088449
chaining;1000;0.0102501
linear;5000;0.0285275
double;5000;0.0290528
cuadratic;5000;0.0287981
chaining;5000;0.0359017
linear;10000;0.0480924
double;10000;0.0196324
cuadratic;10000;0.0522663
chaining;10000;0.0249476
linear;20000;0.0919338
double;20000;0.0829539
cuadratic;20000;0.0683064
chaining;20000;0.0512883
linear;1000;0.0035868
double;1000;0.0037881
cuadratic;1000;0.0036379
chaining;1000;0.0044488
linear;5000;0.0107544
double;5000;0.0108906
cuadratic;5000;0.0109183
chaining;5000;0.0145312
linear;10000;0.019663
double;10000;0.0234715
cuadratic;10000;0.0189678
chaining;10000;0.0246663
linear;20000;0.0379017
double;20000;0.0393702
cuadratic;20000;0.0390239
chaining;20000;0.0523133
linear;1000;0.0033716
double;1000;0.0034032
cuadratic;1000;0.0033674
chaining;1000;0.0051498
linear;5000;0.0122772
double;5000;0.0106016
cuadratic;5000;0.0113932
chaining;5000;0.0135216
linear;10000;0.0358439
double;10000;0.0404065
cuadratic;10000;0.0495053
chaining;10000;0.0618879
linear;20000;0.041663
double;20000;0.0387549
cuadratic;20000;0.0380076
chaining;20000;0.052193
linear;1000;0.0036516
double;1000;0.0036407
cuadratic;1000;0.0035485
chaining;1000;0.0037337
linear;5000;0.0106839
double;5000;0.0108777
cuadratic;5000;0.0106393
chaining;5000;0.0138116
linear;10000;0.018957
double;10000;0.0212507
cuadratic;10000;0.0199057
chaining;10000;0.0262783
linear;20000;0.0408008
double;20000;0.042669
cuadratic;20000;0.0392718
chaining;20000;0.0490528
linear;1000;0.0037234
double;1000;0.003437
cuadratic;1000;0.0033734
chaining;1000;0.0037256
linear;5000;0.0113647
double;5000;0.0109658
cuadratic;5000;0.0116315
chaining;5000;0.0138018
linear;10000;0.0201875
double;10000;0.019686
cuadratic;10000;0.0202929
chaining;10000;0.0258548
linear;20000;0.0382773
double;20000;0.0390694
cuadratic;20000;0.0403453
chaining;20000;0.0499337
linear;1000;0.0034623
double;1000;0.0035884
cuadratic;1000;0.0037552
chaining;1000;0.0040597
linear;5000;0.0113204
double;5000;0.0106511
cuadratic;5000;0.0107526
chaining;5000;0.0134211
linear;10000;0.019559
double;10000;0.0194788
cuadratic;10000;0.0206693
chaining;10000;0.0443461
linear;20000;0.0850288
double;20000;0.0580863
cuadratic;20000;0.0572178
chaining;20000;0.0894395
linear;1000;0.00858
double;1000;0.00892
cuadratic;1000;0.0085048
chaining;1000;0.00974
linear;5000;0.0279881
double;5000;0.0285242
