HashtableType;numInsertions;duration(ms);size_bytes 
linear;1000;5;6408488
double;1000;4;6408488
cuadratic;1000;3;6408488
chaining;1000;4;1529752
unordered_map;1000;2;151904
linear;5000;11;6408488
double;5000;12;6408488
cuadratic;5000;11;6408488
chaining;5000;15;2041752
unordered_map;5000;11;759904
linear;10000;20;6408488
double;10000;20;6408488
cuadratic;10000;21;6408488
chaining;10000;25;2681240
unordered_map;10000;23;1519296
linear;20000;40;6408488
double;20000;40;6408488
cuadratic;20000;39;6408488
chaining;20000;52;3838104
unordered_map;20000;44;2893072
linear;1000;3;6408488
double;1000;3;6408488
cuadratic;1000;4;6408488
chaining;1000;4;1529752
unordered_map;1000;2;151904
linear;5000;11;6408488
double;5000;11;6408488
cuadratic;5000;12;6408488
chaining;5000;15;2041752
unordered_map;5000;11;759904
linear;10000;20;6408488
double;10000;20;6408488
cuadratic;10000;20;6408488
chaining;10000;26;2681240
unordered_map;10000;23;1519296
linear;20000;39;6408488
double;20000;42;6408488
cuadratic;20000;39;6408488
chaining;20000;51;3838104
unordered_map;20000;44;2893072
linear;1000;4;6408488
double;1000;3;6408488
cuadratic;1000;3;6408488
chaining;1000;4;1529752
unordered_map;1000;2;151904
linear;5000;11;6408488
double;5000;13;6408488
cuadratic;5000;11;6408488
chaining;5000;14;2041752
unordered_map;5000;12;759904
linear;10000;22;6408488
double;10000;21;6408488
cuadratic;10000;20;6408488
chaining;10000;26;2681240
unordered_map;10000;22;1519296
linear;20000;39;6408488
double;20000;42;6408488
cuadratic;20000;41;6408488
chaining;20000;51;3838104
unordered_map;20000;44;2893072
linear;1000;3;6408488
double;1000;3;6408488
cuadratic;1000;4;6408488
chaining;1000;4;1529752
unordered_map;1000;2;151904
linear;5000;12;6408488
double;5000;13;6408488
cuadratic;5000;11;6408488
chaining;5000;14;2041752
unordered_map;5000;11;759904
linear;10000;20;6408488
double;10000;20;6408488
cuadratic;10000;21;6408488
chaining;10000;31;2681240
unordered_map;10000;23;1519296
linear;20000;43;6408488
double;20000;40;6408488
cuadratic;20000;40;6408488
chaining;20000;51;3838104
unordered_map;20000;44;2893072
linear;1000;3;6408488
double;1000;3;6408488
cuadratic;1000;5;6408488
chaining;1000;4;1529752
unordered_map;1000;2;151904
linear;5000;11;6408488
double;5000;11;6408488
cuadratic;5000;11;6408488
chaining;5000;14;2041752
unordered_map;5000;11;759904
linear;10000;20;6408488
double;10000;22;6408488
cuadratic;10000;20;6408488
chaining;10000;26;2681240
unordered_map;10000;22;1519296
linear;20000;40;6408488
double;20000;41;6408488
cuadratic;20000;42;6408488
chaining;20000;51;3838104
unordered_map;20000;45;2893072
linear;1000;3;6408488
double;1000;3;6408488
cuadratic;1000;4;6408488
