HashtableType;avg_time_existing(ns);avg_time_non_existing(ns) 
linear;148;118
double;180;212
cuadratic;120;154
chaining;266;114
unordered_map;220;186
linear;144;112
double;168;196
cuadratic;124;142
chaining;320;120
unordered_map;204;160
linear;170;106
double;276;312
cuadratic;154;154
chaining;308;128
unordered_map;328;250
linear;164;114
double;174;208
cuadratic;136;162
chaining;266;116
unordered_map;216;176
linear;166;110
double;160;208
cuadratic;136;212
chaining;338;114
unordered_map;204;190
linear;190;126
double;166;206
cuadratic;148;162
chaining;392;136
unordered_map;242;190
linear;178;104
double;192;234
cuadratic;180;210
chaining;312;126
unordered_map;232;196
linear;152;108
double;170;222
cuadratic;130;164
chaining;282;108
unordered_map;212;200
linear;140;110
double;168;222
cuadratic;110;174
chaining;280;114
unordered_map;344;250
linear;210;128
double;194;246
cuadratic;130;174
chaining;352;138
unordered_map;220;186
linear;162;98
double;154;194
cuadratic;208;274
chaining;286;124
unordered_map;232;198
linear;140;118
double;202;268
cuadratic;130;164
chaining;390;162
unordered_map;224;176
linear;148;100
double;178;218
cuadratic;140;182
chaining;300;136
unordered_map;278;194
linear;160;98
double;178;222
cuadratic;120;130
chaining;342;142
unordered_map;288;212
linear;142;114
double;160;222
cuadratic;152;182
chaining;288;108
unordered_map;208;174
linear;158;112
double;188;228
cuadratic;136;134
chaining;294;116
unordered_map;374;248
linear;158;106
double;182;212
cuadratic;122;160
chaining;320;128
unordered_map;224;172
linear;158;122
double;186;230
cuadratic;120;176
chaining;278;124
unordered_map;246;190
linear;150;104
double;172;228
cuadratic;150;164
chaining;310;128
unordered_map;208;180
linear;216;122
double;186;250
cuadratic;124;176
chaining;332;148
unordered_map;222;172
linear;244;126
double;248;310
cuadratic;150;184
chaining;342;114
unordered_map;216;182
linear;152;112
double;170;204
cuadratic;144;168
chaining;306;128
unordered_map;306;226
linear;180;122
double;154;210
cuadratic;136;180
chaining;276;118
unordered_map;236;172
linear;158;116
double;188;200
cuadratic;158;190
chaining;280;102
unordered_map;222;182
linear;174;116
double;170;240
cuadratic;134;152
chaining;286;134
unordered_map;264;218
linear;200;132
double;182;242
cuadratic;120;162
chaining;278;120
unordered_map;198;164
linear;166;106
double;156;214
cuadratic;140;166
chaining;378;148
unordered_map;234;172
linear;158;110
double;166;224
cuadratic;156;182
chaining;330;128
unordered_map;186;170
linear;168;114
double;186;242
cuadratic;138;154
chaining;278;118
unordered_map;224;196
linear;156;116
double;182;230
cuadratic;138;150
chaining;336;126
unordered_map;228;176
linear;166;114
double;162;208
cuadratic;128;180
chaining;276;114
unordered_map;238;178
linear;152;106
double;182;276
cuadratic;152;204
chaining;298;124
unordered_map;194;192
linear;164;116
double;166;204
cuadratic;156;220
chaining;292;128
unordered_map;238;180
linear;180;120
double;204;252
cuadratic;134;210
chaining;304;126
unordered_map;222;160
linear;160;90
double;172;196
cuadratic;132;168
chaining;288;110
unordered_map;258;190
linear;168;104
double;166;222
cuadratic;134;140
chaining;270;108
unordered_map;208;180
linear;142;110
double;176;250
cuadratic;224;246
chaining;304;122
unordered_map;222;158
linear;158;102
double;170;212
cuadratic;144;208
chaining;280;134
unordered_map;252;188
linear;150;94
double;282;230
cuadratic;118;150
chaining;276;102
unordered_map;220;188
linear;158;104
double;170;218
cuadratic;130;176
chaining;374;134
unordered_map;214;184
linear;156;104
double;164;244
cuadratic;144;174
chaining;288;112
unordered_map;218;176
linear;140;108
double;184;244
cuadratic;134;170
chaining;276;108
unordered_map;224;184
linear;160;106
double;178;244
cuadratic;144;156
chaining;312;112
unordered_map;212;204
linear;152;126
double;158;220
cuadratic;128;160
chaining;284;122
unordered_map;202;160
linear;168;110
double;150;210
cuadratic;130;160
chaining;318;130
unordered_map;204;176
linear;178;122
double;178;204
cuadratic;118;204
chaining;286;118
unordered_map;230;200
linear;156;104
double;180;232
cuadratic;138;168
chaining;318;110
unordered_map;232;180
linear;164;108
double;170;208
cuadratic;118;162
chaining;292;116
unordered_map;212;178
linear;168;116
double;156;220
cuadratic;148;190
chaining;278;112
unordered_map;252;182
linear;178;108
double;184;234
cuadratic;140;188
chaining;300;118
unordered_map;224;180
